Submitter Organization,County,Sub county,Ward,Vaccination Site(s),Latitude,Longitude,Vaccination Date,Species,Disease,Specify other disease,Total number vaccinated,Number of beneficiaries (HHs)
County Government,Taita Taveta,Voi,Sagalla,Talio Nyika,-3.55875,38.57443333333333,2026-05-07,Goats,Peste des Petit Ruminants (PPR),Unknown,210,9
County Government,Taita Taveta,Mwatate,Chawia,Kibaoni,-3.535731666666666,38.29694666666667,2026-04-28,Goats,Peste des Petit Ruminants (PPR),Unknown,797,9
County Government,Taita Taveta,Mwatate,Chawia,Dighai,-3.630815,38.366915,2026-04-27,Goats,Peste des Petit Ruminants (PPR),Unknown,397,1
County Government,Taita Taveta,Mwatate,Bura,Barawawa,-3.4742683333333333,38.3097,2026-04-29,Goats,Peste des Petit Ruminants (PPR),Unknown,27,7
County Government,Taita Taveta,Voi,Sagalla,Mwakoma,-3.4326000000000003,38.60235166666666,2026-05-05,Goats,Peste des Petit Ruminants (PPR),Unknown,94,15
County Government,Nakuru,Rongai,Soin,Farm,-0.0570229,35.9538426,2026-05-13,Chicken,Newcastle Disease (NCD),Unknown,150,1
Unknown,Bomet,Bomet Central,Ndaraweta,Nyongores ,-0.7209838,35.3879342,2026-05-12,Dogs,Rabies,Unknown,74,49
Private,Elgeyo/Marakwet,Marakwet East,Sambirir,Ratya,1.0781674,35.6336924,2026-05-13,Goats,Peste des Petit Ruminants (PPR),Unknown,200,2
County Government,Bomet,Bomet East,Kipreres,Motiret ,-0.909608,35.3642827,2026-05-13,Dogs,Rabies,Unknown,23,1
Unknown,Siaya,Alego Usonga,North Alego,Nyamila,0.0617516,34.3804703,2026-05-04,Cattle,Foot and Mouth Disease (FMD),Unknown,19,1
County Government,Bomet,Chepalungu,Sigor,Chepkosa,-0.9645457,35.2290987,2026-05-13,Dogs,Rabies,Unknown,90,65
County Government,Narok,Narok West,Siana,Farm,,,2026-05-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,187,2
County Government,Bomet,Bomet Central,Ndaraweta,MoGOIYWET,,,2026-05-13,Dogs,Rabies,Unknown,82,68
County Government,Bomet,Bomet Central,Ndaraweta,MOGOIWET,,,2026-05-13,Cats,Rabies,Unknown,17,12
Unknown,Bomet,Bomet Central,Ndaraweta,sogoet,-0.6652132,35.3797083,2026-05-13,Dogs,Rabies,Unknown,76,48
Private,Siaya,Alego Usonga,South East Alego,Uloma Kodero Primary ,-0.0336049,34.2912958,2026-05-13,Cattle,Foot and Mouth Disease (FMD),Unknown,80,18
County Government,Nakuru,Naivasha,Naivasha East,KALRO Naivasha ,1.0,1.0,2026-05-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,217,1
County Government,Bomet,Chepalungu,Sigor,Lugumek ,-0.9193861,35.2998063,2026-05-13,Dogs,Rabies,Unknown,150,75
County Government,Bomet,Bomet Central,Ndaraweta,Baregeiyat And Mogoiywet,-0.6819652,35.37868,2026-05-13,Cats,Rabies,Unknown,14,14
County Government,Bomet,Bomet Central,Ndaraweta,Beregeiyat,-0.6819652,35.37868,2026-05-13,Dogs,Rabies,Unknown,62,62
County Government,Kwale,Matuga,Kubo South,Maloloni,-4.3329941,39.2487525,2026-05-13,Cattle,Foot and Mouth Disease (FMD),Unknown,7,68
County Government,Bomet,Konoin,Embomos,Kimaruandi ,-0.5761196,35.3811296,2026-05-13,Dogs,Rabies,Unknown,125,68
County Government,Nakuru,Rongai,Solai,Chemasis,,,2026-05-07,Sheep,Peste des Petit Ruminants (PPR),Unknown,100,3
County Government,Baringo,Baringo South,Marigat,Crash,0.4760539,35.9834444,2026-05-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,700,8
County Government,Isiolo,Isiolo,Burat,Leparua,0.2929366666666667,37.44604,2026-05-13,Cattle,Foot and Mouth Disease (FMD),Unknown,643,6
County Government,Isiolo,Isiolo,Burat,Kwa Kitonga,,,2026-05-12,Cattle,Foot and Mouth Disease (FMD),Unknown,320,6
County Government,Isiolo,Isiolo,Ngare Mara,Ariamawoi,,,2026-05-09,Goats,Peste des Petit Ruminants (PPR),Unknown,900,4
County Government,Isiolo,Isiolo,Burat,Dadapoi,,,2026-05-13,Goats,Goat Pox,Unknown,2300,14
County Government,Isiolo,Isiolo,Wabera,Kamenjo,0.3105733333333333,37.58240666666666,2026-05-10,Chicken,Fowl Pox,Unknown,98,1
County Government,Kwale,Matuga,Kubo South,Farm Level ,-4.3329695,39.2532976,2026-05-12,Chicken,Other,Fowl Typhoid ,600,1
County Government,Baringo,Baringo South,Marigat,Kimalel,0.4789329,35.9429518,2026-05-10,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,170,2
County Government,Baringo,Baringo South,Marigat,Endao,0.5941215,36.0065736,2026-05-14,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,184,3
County Government,Nakuru,Naivasha,Naivasha East,Unknown,24.0,28.0,2026-05-14,Dogs,Parvovirus,Unknown,1,1
Private,Kajiado,Kajiado East,Oloosirkon/Sholinke,Oloosirikon ,-1.3919974,36.8255912,2026-05-14,Sheep,Other,Blue Tongue Disease ,800,5
County Government,Kitui,Mwingi Central,Kivou,Syomikuku ,-0.9342678,38.0566984,2026-05-07,Dogs,Rabies,Unknown,2,1
County Government,Migori,Suna West,Wiga,Kipingi,-1.1012331,34.3675395,2026-05-14,Cattle,Black Quarter,Unknown,53,5
County Government,Baringo,Baringo South,Marigat,Crash,0.4719736,35.9948044,2026-05-14,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,900,5
County Government,Narok,Narok North,Narok Town,Mwamba,-1.1085687,35.8419975,2026-05-14,Sheep,Peste des Petit Ruminants (PPR),Unknown,369,2
County Government,Narok,Narok North,Narok Town,Mwamba,-1.1085687,35.8419975,2026-05-14,Goats,Peste des Petit Ruminants (PPR),Unknown,186,2
County Government,Narok,Narok North,Narok Town,Mwamba,-1.1085687,35.8419975,2026-05-14,Dogs,Rabies,Unknown,9,9
County Government,Nakuru,Gilgil,Gilgil,Village,-0.5068941,36.3252588,2026-05-14,Dogs,Rabies,Unknown,97,20
County Government,Bomet,Bomet Central,Ndaraweta,Ngainet,,,2026-05-14,Dogs,Rabies,Unknown,33,23
County Government,Bomet,Bomet Central,Ndaraweta,Ngainet,,,2026-05-14,Cats,Rabies,Unknown,1,1
County Government,Nakuru,Gilgil,Gilgil,Village,,,2026-05-14,Dogs,Rabies,Unknown,20,5
County Government,Lamu,Lamu West,Hongwe,RUMSHI B,-2.3817676,40.5907224,2026-05-14,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,907,10
County Government,Lamu,Lamu West,Hongwe,RUMSHI B,-2.3987306,40.5897698,2026-05-14,Cattle,Anthrax,Unknown,907,10
County Government,Lamu,Lamu West,Hongwe,RUMSHI B,-2.3817676,40.5907224,2026-05-14,Cattle,Black Quarter,Unknown,907,10
County Government,Lamu,Lamu West,Bahari,Lake Side,-2.380271,40.6862234,2026-05-13,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,700,14
County Government,Lamu,Lamu West,Bahari,Lake Side,-2.380271,40.6862234,2026-05-13,Cattle,Anthrax,Unknown,700,14
County Government,Lamu,Lamu West,Hongwe,Lumshi A,-2.3817902,40.5900873,2026-05-14,Cattle,Anthrax,Unknown,1026,12
County Government,Makueni,Kilome,Kasikeu,Kwale,-1.95513592,37.2851173,2026-05-14,Cattle,Foot and Mouth Disease (FMD),Unknown,102,18
County Government,Makueni,Kilome,Kasikeu,Kwale,-1.95512567,37.2851037,2026-05-14,Cattle,Lumpy Skin Disease (LSD),Unknown,45,15
County Government,Bomet,Bomet East,Longisa,Torokonik Centre ,-0.8338689,35.4394927,2026-05-14,Dogs,Rabies,Unknown,165,43
County Government,Makueni,Kilome,Kasikeu,Kiou Top,-2.1002,37.1303,2026-05-14,Cattle,Foot and Mouth Disease (FMD),Unknown,55,22
County Government,Makueni,Kilome,Kasikeu,Kiou Top,-2.1002,37.1303,2026-05-14,Cattle,Lumpy Skin Disease (LSD),Unknown,55,22
County Government,Makueni,Kilome,Kasikeu,Kiou Top,-2.1002,37.1303,2026-05-14,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,135,22
County Government,Bomet,Chepalungu,Chebunyo,Chebunyo Dip,-0.9233655,35.1963484,2026-05-14,Dogs,Rabies,Unknown,64,64
County Government,Bomet,Chepalungu,Chebunyo,Chebunyo Dip,-0.9213981,35.1994647,2026-05-14,Cats,Rabies,Unknown,6,6
County Government,Bomet,Chepalungu,Chebunyo,Chebunyo Ward,-0.9213981,35.1994647,2026-05-14,Dogs,Rabies,Unknown,222,222
County Government,Bomet,Chepalungu,Chebunyo,Chebunyo Ward,-0.9213981,35.1994647,2026-05-14,Cats,Rabies,Unknown,18,18
County Government,Nyandarua,Ol Kalou,Rurii,Thigh,-0.1716319,36.3807832,2026-05-14,Chicken,Other,Fowl Typhoid ,264,1
County Government,Baringo,Baringo South,Ilchamus,Salabani,0.5022711,36.0035128,2026-05-15,Sheep,Other,Bluetongue,96,1
County Government,Narok,Narok West,Siana,Olgaenet,-1.6750065,35.3624504,2026-05-15,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,485,1
County Government,Busia,Butula,Marachi Central,Bulemia,0.4571364,34.1148134,2026-05-14,Dogs,Canine Distemper (CD),Unknown,2,1
County Government,Trans Nzoia,Kiminini,Nabiswa,Chege's Farm,0.8719867,34.8866916,2026-05-09,Dogs,Rabies,Unknown,3,1
Private,Nyandarua,Kinangop,Gathara,Oral,-0.648738,36.6065245,2026-05-15,Chicken,Infectious Bursai Disease (Gumboro),Unknown,17,2
County Government,Narok,Narok West,Siana,Olgaenet,-1.6750065,35.3624504,2026-05-15,Sheep,Peste des Petit Ruminants (PPR),Unknown,1,96
County Government,Narok,Narok West,Siana,Embiti,-1.5976155,35.4321339,2026-05-15,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,98,3
Unknown,Busia,Samia,Bwiri,Rwambua,0.1384648,34.0976233,2026-05-15,Cattle,Foot and Mouth Disease (FMD),Unknown,11,1
County Government,Lamu,Lamu West,Hongwe,Lumshi A,-2.3745776,40.5716669,2026-05-14,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,1026,12
County Government,Kisumu,Kisumu West,North West Kisumu,Market ,-0.0141995,34.5970547,2026-05-14,Cattle,Foot and Mouth Disease (FMD),Unknown,40,12
County Government,Kakamega,Ikolomani,Idakho South,1,,,2026-05-15,Cattle,Lumpy Skin Disease (LSD),Unknown,17,1
County Government,Makueni,Makueni,Kitise/Kithuki,Kikome,-2.0509416666666667,37.9437,2026-05-15,Cattle,Lumpy Skin Disease (LSD),Unknown,40,4
County Government,Makueni,Makueni,Kitise/Kithuki,Mayuu,-2.0701916666666667,37.83331666666666,2026-05-13,Cattle,Lumpy Skin Disease (LSD),Unknown,19,4
County Government,Makueni,Makueni,Kitise/Kithuki,Mayuu,-2.0702333333333334,37.83332666666667,2026-05-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,30,1
County Government,Makueni,Makueni,Kitise/Kithuki,Kikome,-2.050985,37.94343833333333,2026-05-15,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,79,4
County Government,Makueni,Makueni,Kitise/Kithuki,Kitise,-2.0557133333333337,37.87768833333334,2026-05-14,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,253,3
County Government,Lamu,Lamu West,Hongwe,Lumshi A,-2.3786787,40.5837361,2026-05-15,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,824,11
County Government,Lamu,Lamu West,Hongwe,Lumshi A,-2.3817902,40.5900873,2026-05-15,Cattle,Anthrax,Unknown,824,11
Unknown,Bomet,Bomet Central,Singorwet,masese,-0.7330884,35.4198015,2026-05-15,Dogs,Rabies,Unknown,56,42
County Government,Lamu,Lamu West,Mkunumbi,Koreni,-2.3546403,40.5761137,2026-05-16,Cattle,Anthrax,Unknown,2300,12
County Government,Narok,Narok West,Siana,Osero,-1.5996131,35.4444644,2026-05-15,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,96,1
County Government,Makueni,Kilome,Kasikeu,Ndivu,-1.98008137,37.27693995,2026-05-15,Cattle,Foot and Mouth Disease (FMD),Unknown,203,34
County Government,Makueni,Kilome,Kasikeu,Ndivu(Kwale),-1.980081,37.276939,2026-05-15,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,345,14
County Government,Makueni,Makueni,Kitise/Kithuki,Manzani,-2.087553333333333,37.858756666666665,2026-05-12,Cattle,Lumpy Skin Disease (LSD),Unknown,4,1
County Government,Makueni,Makueni,Kitise/Kithuki,Ngunguuni ,-2.1121883333333336,37.87263666666667,2026-05-12,Cattle,Lumpy Skin Disease (LSD),Unknown,47,3
County Government,Makueni,Makueni,Kitise/Kithuki,Kitise,-2.055838333333333,37.877703333333336,2026-05-14,Cattle,Lumpy Skin Disease (LSD),Unknown,27,3
County Government,Makueni,Makueni,Kitise/Kithuki,Manza,-2.08876,37.859525,2026-05-12,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,375,7
County Government,Makueni,Makueni,Kitise/Kithuki,Munathi,-2.0428166666666665,37.81050833333334,2026-05-13,Cattle,Lumpy Skin Disease (LSD),Unknown,9,2
County Government,Makueni,Makueni,Kitise/Kithuki,Munathi,-2.042836666666666,37.810395,2026-05-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,117,2
County Government,Baringo,Baringo South,Marigat,Boiin,0.5399317,35.9686217,2026-05-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,240,2
County Government,Makueni,Makueni,Kitise/Kithuki,Maaueli,-2.096681666666667,37.90896333333333,2026-05-11,Cattle,Lumpy Skin Disease (LSD),Unknown,19,2
County Government,Makueni,Makueni,Kitise/Kithuki,Yinthungu,-1.962365,37.86568,2026-05-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,231,12
County Government,Makueni,Makueni,Kitise/Kithuki,Ngunguuni ,-2.1123333333333334,37.872665,2026-05-12,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,80,1
County Government,Makueni,Makueni,Kitise/Kithuki,Kimundi,-1.9574783333333332,37.8473,2026-05-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,243,14
County Government,Makueni,Makueni,Kitise/Kithuki,Kyuasini,-1.988046666666667,37.81876666666667,2026-05-01,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,300,22
County Government,Makueni,Makueni,Kitise/Kithuki,Yinthungu ,-1.962325,37.86559833333333,2026-05-06,Cattle,Lumpy Skin Disease (LSD),Unknown,99,28
County Government,Makueni,Makueni,Kitise/Kithuki,Kimundi,-1.9422683333333333,37.827925,2026-05-06,Cattle,Lumpy Skin Disease (LSD),Unknown,148,34
County Government,Makueni,Makueni,Kitise/Kithuki,Mwakini,-1.95751,37.84732666666666,2026-05-06,Cattle,Lumpy Skin Disease (LSD),Unknown,121,24
County Government,Makueni,Makueni,Kitise/Kithuki,Mwania,-2.078155,37.92599166666666,2026-05-11,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,107,6
County Government,Makueni,Makueni,Kitise/Kithuki,Kimundi,-1.9421,37.82809,2026-05-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,243,14
County Government,Makueni,Makueni,Kitise/Kithuki,Maaueli,-2.096585,37.90899833333334,2026-05-11,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,35,1
County Government,Makueni,Makueni,Kitise/Kithuki,Maueli,-2.0965849999,37.90899833333,2026-05-11,Cattle,Lumpy Skin Disease (LSD),Unknown,19,2
County Government,Lamu,Lamu West,Mkunumbi,PANGANI,-2.3544021,40.5761137,2026-05-15,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,2308,13
County Government,Nakuru,Gilgil,Gilgil,gilgil,,,2026-05-14,Dogs,Rabies,Unknown,60,40
Private,Siaya,Ugenya,West Ugenya,Mauna Village,0.209884,34.1596267,2026-05-16,Cattle,Foot and Mouth Disease (FMD),Unknown,45,10
Private,Makueni,Makueni,Muvau/Kikuumini,Mangauni ,-1.7777554,37.7156274,2026-05-16,Dogs,Rabies,Unknown,3,1
County Government,Lamu,Lamu West,Mkunumbi,PANGANI,-2.3543798,40.576749,2026-05-16,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,2657,12
County Government,Lamu,Lamu West,Mkunumbi,Koreni,-2.3543909,40.5764314,2026-05-16,Cattle,Black Quarter,Unknown,2300,12
County Government,Nakuru,Bahati,Lanet/Umoja,Sc,,,2026-07-21,Cattle,Lumpy Skin Disease (LSD),Unknown,12,1
County Government,Baringo,Baringo Central,Kapropita,Kasoiyo,0.4930109,35.7435394,2026-05-15,Dogs,Rabies,Unknown,10,7
County Government,Baringo,Baringo South,Marigat,Home Site,0.3792354,36.0344557,2026-05-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,110,1
County Government,Isiolo,Garbatulla,Kinna,Farm,0.5704396,38.1944327,2026-05-07,Goats,Peste des Petit Ruminants (PPR),Unknown,253,1
County Government,Isiolo,Garbatulla,Kinna,Farm,0.3490726,37.5920282,2026-05-07,Sheep,Peste des Petit Ruminants (PPR),Unknown,247,2
County Government,Busia,Matayos,Bukhayo West,Hh,0.4534819,34.1500368,2026-05-16,Dogs,Canine Distemper (CD),Unknown,2,2
County Government,Busia,Matayos,Bukhayo West,Hh,0.4534819,34.1500368,2026-05-16,Dogs,Rabies,Unknown,2,1
County Government,Baringo,Baringo North,Saimo/Soi,Kapsabeiwa,,,2026-05-17,Sheep,Other,Bluetongue ,197,2
County Government,Wajir,Wajir East,Khorof/Harar,ARBAQEYRAMSO,1.7749954,40.2946622,2026-05-17,Cattle,Foot and Mouth Disease (FMD),Unknown,118,3
County Government,Kwale,Msambweni,Kinondo,kinondo ,-4.281910805,39.5577165,2026-03-18,Chicken,Newcastle Disease (NCD),Unknown,1230,1
County Government,Kwale,Msambweni,Kinondo,Masindeni ,-4.3343546,39.441306,2026-03-18,Cattle,Foot and Mouth Disease (FMD),Unknown,12,2
County Government,Kwale,Msambweni,Ramisi,Magodi,0.0,0.0,2026-03-30,Sheep,Sheep Pox,Unknown,65,2
County Government,Kwale,Matuga,Waa,Tsunguni ,-4.1813714,39.5596549,2026-05-11,Dogs,Rabies,Unknown,1,1
County Government,Baringo,Baringo South,Mukutani,Losampurpur,0.3776855,35.8595189,2026-05-17,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,300,4
Private,Nyandarua,Kinangop,Murungaru,Farm,-0.570886,36.4932631,2026-05-17,Sheep,Enterotoxaemia,Unknown,9,1
County Government,Kisumu,Kisumu West,Kisumu North,Market ,-0.0142075,34.5970417,2026-05-15,Cattle,Foot and Mouth Disease (FMD),Unknown,20,3
County Government,Kisumu,Kisumu West,Kisumu North,1,-0.0142862,34.5967204,2026-02-26,Cattle,Foot and Mouth Disease (FMD),Unknown,87,11
County Government,Kisumu,Kisumu West,North West Kisumu,School,-0.0105219,34.6001129,2026-05-06,Cattle,Foot and Mouth Disease (FMD),Unknown,13,1
County Government,Baringo,Baringo South,Marigat,Home Site,0.4396569,35.988547,2026-05-18,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,77,1
County Government,Baringo,Baringo South,Marigat,Home Site,0.438226,35.9878667,2026-05-18,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,320,1
Private,Nyandarua,Kinangop,Murungaru,neck region,-0.5874216,36.4900865,2026-05-18,Sheep,Enterotoxaemia,Unknown,15,1
County Government,Baringo,Baringo South,Marigat,Crash,0.4815363,35.9820426,2026-05-18,Sheep,Pneumonia,Unknown,50,1
Private,Siaya,Ugenya,Ukwala,Undhine,0.1967067,34.1905637,2026-05-18,Cattle,Foot and Mouth Disease (FMD),Unknown,14,4
County Government,Lamu,Lamu West,Mkunumbi,Koreni,-2.3553662,40.5757961,2026-05-18,Cattle,Anthrax,Unknown,787,6
County Government,Lamu,Lamu West,Mkunumbi,Koreni,-2.3553662,40.5757961,2026-05-18,Cattle,Black Quarter,Unknown,787,6
County Government,Lamu,Lamu West,Mkunumbi,Koreni,-2.3553662,40.5757961,2026-05-18,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,850,7
County Government,Bomet,Sotik,Ndanai/Abosi,CHEPKALWAL A B and ROTIK CENTRAL ,-0.8725026,35.0818017,2026-05-18,Dogs,Rabies,Unknown,484,223
Private,Nyandarua,Kinangop,Murungaru,Farm,38.5,39.6,2026-05-18,Dogs,Parvovirus,Unknown,5,1
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Mulata,37.48796,-2.01417,2026-04-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,55,36
County Government,Nakuru,Rongai,Soin,S/C,-0.1164207,35.9398884,2026-05-13,Goats,Rabies,Unknown,1,1
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kanzili ,37.4321012,-1.943221,2026-04-14,Cattle,Lumpy Skin Disease (LSD),Unknown,38,5
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Syaolwe,37.623942,-1.9422451,2026-04-09,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,48,16
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kanzili ,37.4321012,-1.943221,2026-04-14,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,16,5
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kwa Sammy ,37.57292,-1.946123,2026-04-08,Cattle,Lumpy Skin Disease (LSD),Unknown,45,26
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Ivila,37.549401,-2.006911,2026-04-13,Cattle,Lumpy Skin Disease (LSD),Unknown,15,9
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Muthwani,37.46228,1.597572,2026-04-23,Cattle,Lumpy Skin Disease (LSD),Unknown,34,23
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Ivila,37.549401,-2.006911,2026-04-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,18,9
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kwa Sammy ,37.623942,-1.946123,2026-04-08,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,20,26
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Ngoi,37.56138,-1.91475,2026-04-10,Cattle,Lumpy Skin Disease (LSD),Unknown,98,42
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kivungu,37.526142,-1.91241,2026-04-21,Cattle,Lumpy Skin Disease (LSD),Unknown,32,21
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Ngoi,37.56138,-1.914756,2026-04-10,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,68,42
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Yiimani ,37.476123,-1.95012,2026-04-07,Cattle,Lumpy Skin Disease (LSD),Unknown,48,15
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Syaolwe ,37.623942,-1.9422451,2026-04-09,Cattle,Lumpy Skin Disease (LSD),Unknown,38,16
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Maumba,37.4922,-1.84486,2026-04-17,Cattle,Lumpy Skin Disease (LSD),Unknown,30,17
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kivani Kwa Obadiah ,37.37542,-1.7222142,2026-04-25,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,128,18
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Nduumoni,37.48065,-1.88475,2026-04-22,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,69,38
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Nduumoni,37.48065,-1.88475,2026-04-22,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,69,23
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Yiimani,37.476123,-1.95012,2026-04-07,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,60,15
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Malindi ,37.5667,-1.800142,2026-04-20,Cattle,Lumpy Skin Disease (LSD),Unknown,114,42
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Matiliku C Dip,37.530065,-1.96205,2026-04-15,Cattle,Lumpy Skin Disease (LSD),Unknown,28,8
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Maviaume,37.54349,-1.92659,2026-04-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,21,11
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kivungu,37.526142,-1.91241,2026-04-21,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,57,21
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Muthwani,37.46228,1.597512,2026-04-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,88,23
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Matiliku C Dip,37.53065,-1.96205,2026-04-15,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,15,8
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Maumba,37.4922,-1.84486,2026-04-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,28,17
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Mulata,37.48796,-2.01417,2026-04-06,Cattle,Lumpy Skin Disease (LSD),Unknown,37,36
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Kalumoni,37.49655,1.82238,2026-04-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,92,32
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Malindi,37.5667,-1.8000142,2026-04-20,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,208,42
County Government,Elgeyo/Marakwet,Keiyo South,Kaptarakwa,Toot Centre,0.5053387,35.5190927,2026-05-19,Sheep,Peste des Petit Ruminants (PPR),Unknown,80,6
County Government,Turkana,Turkana South,Lokichar,Village ,2.3731098,35.6432068,2026-05-19,Goats,Peste des Petit Ruminants (PPR),Unknown,1000,13
County Government,Lamu,Lamu West,Mkunumbi,Mkunumbi,-2.2962602,40.6954162,2026-05-19,Cattle,Anthrax,Unknown,1100,6
County Government,Lamu,Lamu West,Mkunumbi,Mkunumbi,-2.2962602,40.6954162,2026-05-19,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,580,6
County Government,Lamu,Lamu West,Mkunumbi,Mkunimbi,-2.2962602,40.6954162,2026-05-19,Cattle,Black Quarter,Unknown,1100,6
County Government,Makueni,Kibwezi East,Ivingoni/Nzambani,Matulani,0.0,0.0,2026-05-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,320,1
County Government,Makueni,Kibwezi East,Mtito Andei,Songea,-2.69,38.17,2026-05-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,104,4
County Government,Makueni,Kibwezi East,Mtito Andei,Yindundu,-2.522402,38.219862,2026-05-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,23,2
County Government,Makueni,Kibwezi East,Mtito Andei,Kasaini,-2.54861,38.202021,2026-05-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,315,11
County Government,Makueni,Kibwezi East,Mtito Andei,Kalimani,-2.550854,38.098263,2026-05-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,213,11
County Government,Makueni,Kibwezi East,Mtito Andei,Ack Kilumilo ,-2.5409,38.1447,2026-05-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,181,12
