Date of Report,Longitude,Latitude,County,Sub-County,Ward,Village,Animals Affected,Signs of Disease,Total Number of Animals in the herd,Number Sick,Number Dead
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Discharge from the eyes (Machozi), Swollen glands]",24,12,1
2026-07-25,41.2197245,3.9332788,Mandera,Mandera North,Rhamu,Rhamu ,Goats,"[Abortions (Mimba Kutoka), Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Skin swellings (uvimbe wa ngozi)]",185,16,0
2026-07-25,41.2197245,3.9332788,Mandera,Mandera North,Rhamu,Rhamu ,Camel,"[Sudden Death (Kifo cha ghafla), Aggressiveness (Ukali), Lamess (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Bloody Faeces]",35,6,1
2026-07-24,41.858509,3.9370032,Mandera,Mandera West,Takaba,Bamba Taka,Sheep,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Pouring Saliva (Kumwaga mate), Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Skin swellings (uvimbe wa ngozi), Diarrhoea (Kuhara), Loss of weight]",79,18,4
2026-07-24,40.8179522,2.5737846,Mandera,Mandera South,Kutulo,Unknown,Cattle,[Abortions (Mimba Kutoka)],145,3,2
2026-07-25,40.801819,2.5579248,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],192,5,3
2026-07-25,0.0,0.0,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],56,3,1
2026-07-25,40.801819,2.5579248,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],147,2,6
2026-07-25,40.801819,2.5579248,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],152,5,3
2026-07-25,40.801819,2.5579248,Mandera,Mandera South,Kutulo,Unknown,Camel,[Sudden Death (Kifo cha ghafla)],152,3,1
2026-07-25,0.0,0.0,Turkana,Turkana East,Kapedo/Napeitom,Napeitom,Sheep,[Lameness (Kushindwa kutembea)],52,11,6
2026-07-25,41.1817916,3.1474356,Mandera,Lafey,Lafey,Damasa ,Camel,"[Abortions (Mimba Kutoka), Lamess (Kushindwa kutembea), Nasal discharges (Makamasi)]",80,3,1
2026-07-25,41.1817916,3.1474356,Mandera,Lafey,Lafey,Damasa ,Goats,"[Abortions (Mimba Kutoka), Discharge from the eyes (Machozi), Nasal discharges (Makamasi)]",85,4,1
2026-07-25,40.2306099,3.3925224,Mandera,Mandera West,Takaba,Bulla ,Goats,"[Lameness (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara), Bloody Faeces, Skin swellings (uvimbe wa ngozi)]",80,20,5
